peak_I,test_strategy,train_strategy,augmentation
964.0,LHS,LHS,1
47.0,LHS,LHS,1
499.0,LHS,LHS,1
246.0,LHS,LHS,1
986.0,LHS,LHS,1
58099.516,LHS,LHS,1
462.0,LHS,LHS,1
44.0,LHS,LHS,1
133.0,LHS,LHS,1
79.0,LHS,LHS,1
172.0,LHS,LHS,1
40983.59,LHS,LHS,1
1199.0223,LHS,LHS,1
1163.9547,LHS,LHS,1
768.0,LHS,LHS,1
9409.419,LHS,LHS,1
312.0,LHS,LHS,1
173.0,LHS,LHS,1
908.0,LHS,LHS,1
445.8799,LHS,LHS,1
525.0,LHS,LHS,1
492.0,LHS,LHS,1
3169.6702,LHS,LHS,1
145.0,LHS,LHS,1
166.0,LHS,LHS,1
7977.0938,LHS,LHS,1
693.5352,LHS,LHS,1
31.0,LHS,LHS,1
707.0173,LHS,LHS,1
384.0,LHS,LHS,1
1521.9558,LHS,LHS,1
651.0,LHS,LHS,1
883.0,LHS,LHS,1
653.0,LHS,LHS,1
714.0,LHS,LHS,1
2691.6624,LHS,LHS,1
7577.339,LHS,LHS,1
439.0,LHS,LHS,1
1959.7631,LHS,LHS,1
2352.3274,LHS,LHS,1
537.0,LHS,LHS,1
657.0,LHS,LHS,1
1449.8561,LHS,LHS,1
240.0,LHS,LHS,1
1825.5331,LHS,LHS,1
2820.9026,LHS,LHS,1
17810.047,LHS,LHS,1
7874.8745,LHS,LHS,1
650.0,LHS,LHS,1
233.0,LHS,LHS,1
6893.757,LHS,LHS,1
2593.9685,LHS,LHS,1
81.0,LHS,LHS,1
1896.1023,LHS,LHS,1
8413.854,LHS,LHS,1
186.0,LHS,LHS,1
7913.536,LHS,LHS,1
12.0,LHS,LHS,1
892.0,LHS,LHS,1
543.0,LHS,LHS,1
835.0,LHS,LHS,1
491.0,LHS,LHS,1
895.0,LHS,LHS,1
1910.488,LHS,LHS,1
473.0,LHS,LHS,1
2174.4385,LHS,LHS,1
2280.759,LHS,LHS,1
472.0,LHS,LHS,1
691.0,LHS,LHS,1
28362.771,LHS,LHS,1
1202.5558,LHS,LHS,1
1951.0726,LHS,LHS,1
464.1191,LHS,LHS,1
290.0,LHS,LHS,1
193.0,LHS,LHS,1
850.0,LHS,LHS,1
30082.514,LHS,LHS,1
674.0,LHS,LHS,1
579.0,LHS,LHS,1
8830.649,LHS,LHS,1
24.0,LHS,LHS,1
373.0,LHS,LHS,1
608.31256,LHS,LHS,1
245.0,LHS,LHS,1
730.0,LHS,LHS,1
178.0,LHS,LHS,1
442.0,LHS,LHS,1
14206.631,LHS,LHS,1
202.0,LHS,LHS,1
806.0,LHS,LHS,1
13414.77,LHS,LHS,1
45259.113,LHS,LHS,1
136.0,LHS,LHS,1
170.0,LHS,LHS,1
146.0,LHS,LHS,1
421.0,LHS,LHS,1
736.0,LHS,LHS,1
3562.008,LHS,LHS,1
1827.9995,LHS,LHS,1
7543.5073,LHS,LHS,1
673.0,LHS,LHS,1
277.0,LHS,LHS,1
7691.1553,LHS,LHS,1
981.0,LHS,LHS,1
720.8608,LHS,LHS,1
1709.953,LHS,LHS,1
720.0,LHS,LHS,1
2918.5803,LHS,LHS,1
39.0,LHS,LHS,1
22279.045,LHS,LHS,1
591.0,LHS,LHS,1
109.0,LHS,LHS,1
618.0,LHS,LHS,1
11469.707,LHS,LHS,1
338.0,LHS,LHS,1
2310.119,LHS,LHS,1
612.0,LHS,LHS,1
165.0,LHS,LHS,1
960.0,LHS,LHS,1
15897.518,LHS,LHS,1
1903.2793,LHS,LHS,1
11994.231,LHS,LHS,1
4090.2485,LHS,LHS,1
875.0,LHS,LHS,1
35.0,LHS,LHS,1
472.0,LHS,LHS,1
549.0,LHS,LHS,1
332.0,LHS,LHS,1
10323.545,LHS,LHS,1
652.0,LHS,LHS,1
94.0,LHS,LHS,1
370.0,LHS,LHS,1
393.0,LHS,LHS,1
777.0,LHS,LHS,1
468.0,LHS,LHS,1
6039.5615,LHS,LHS,1
948.0,LHS,LHS,1
24320.996,LHS,LHS,1
6174.2393,LHS,LHS,1
37269.24,LHS,LHS,1
876.0,LHS,LHS,1
271.8135,LHS,LHS,1
18.0,LHS,LHS,1
1723.2955,LHS,LHS,1
26833.541,LHS,LHS,1
690.0,LHS,LHS,1
335.0,LHS,LHS,1
9182.797,LHS,LHS,1
7618.7197,LHS,LHS,1
425.0,LHS,LHS,1
17359.484,LHS,LHS,1
917.0,LHS,LHS,1
807.0,LHS,LHS,1
28784.633,LHS,LHS,1
891.0,LHS,LHS,1
314.0,LHS,LHS,1
21957.412,LHS,LHS,1
747.0,LHS,LHS,1
990.0,LHS,LHS,1
243.07147,LHS,LHS,1
2504.6965,LHS,LHS,1
10602.913,LHS,LHS,1
987.0,LHS,LHS,1
97.0,LHS,LHS,1
471.0,LHS,LHS,1
467.0,LHS,LHS,1
389.0,LHS,LHS,1
177.0,LHS,LHS,1
17988.986,LHS,LHS,1
235.0,LHS,LHS,1
704.0,LHS,LHS,1
323.274,LHS,LHS,1
659.0,LHS,LHS,1
834.0,LHS,LHS,1
98.0,LHS,LHS,1
2956.1997,LHS,LHS,1
428.0,LHS,LHS,1
164.0,LHS,LHS,1
40870.38,LHS,LHS,1
754.0,LHS,LHS,1
29361.623,LHS,LHS,1
639.0,LHS,LHS,1
1853.197,LHS,LHS,1
49862.375,LHS,LHS,1
869.0,LHS,LHS,1
267.0,LHS,LHS,1
3037.2498,LHS,LHS,1
28826.715,LHS,LHS,1
391.0,LHS,LHS,1
593.0,LHS,LHS,1
300.0,LHS,LHS,1
20803.803,LHS,LHS,1
65.0,LHS,LHS,1
724.0,LHS,LHS,1
2389.9785,LHS,LHS,1
23035.541,LHS,LHS,1
936.0,LHS,LHS,1
141.39973,LHS,LHS,1
476.0,LHS,LHS,1
617.0,LHS,LHS,1
243.67693,LHS,LHS,1
838.0,LHS,LHS,1
123.0,LHS,LHS,1
774.0,LHS,LHS,1
3647.0796,LHS,LHS,1
15.0,LHS,LHS,1
674.0,LHS,LHS,1
204.0,LHS,LHS,1
2075.32,LHS,LHS,1
591.0,LHS,LHS,1
880.66003,LHS,LHS,1
206.0,LHS,LHS,1
1171.3947,LHS,LHS,1
1583.759,LHS,LHS,1
1011.3156,LHS,LHS,1
55.0,LHS,LHS,1
608.0,LHS,LHS,1
4033.3025,LHS,LHS,1
727.0,LHS,LHS,1
748.0,LHS,LHS,1
683.0,LHS,LHS,1
786.0,LHS,LHS,1
988.0,LHS,LHS,1
456.0,LHS,LHS,1
1033.3517,LHS,LHS,1
279.2997,LHS,LHS,1
2249.1082,LHS,LHS,1
248.0,LHS,LHS,1
781.0,LHS,LHS,1
981.0,LHS,LHS,1
1283.4229,LHS,LHS,1
624.0,LHS,LHS,1
957.0,LHS,LHS,1
987.0,LHS,LHS,1
4083.9382,LHS,LHS,1
702.0,LHS,LHS,1
134.0,LHS,LHS,1
18197.078,LHS,LHS,1
612.37665,LHS,LHS,1
350.0,LHS,LHS,1
563.0,LHS,LHS,1
425.0,LHS,LHS,1
2518.4272,LHS,LHS,1
354.0,LHS,LHS,1
14527.347,LHS,LHS,1
537.0,LHS,LHS,1
569.0,LHS,LHS,1
322.0,LHS,LHS,1
441.0,LHS,LHS,1
2311.812,LHS,LHS,1
955.0,LHS,LHS,1
655.0,LHS,LHS,1
9768.642,LHS,LHS,1
4141.071,LHS,LHS,1
944.0,LHS,LHS,1
812.0,LHS,LHS,1
595.0,LHS,LHS,1
156.0,LHS,LHS,1
190.0,LHS,LHS,1
682.0,LHS,LHS,1
806.4965,LHS,LHS,1
487.0,LHS,LHS,1
334.0,LHS,LHS,1
308.0,LHS,LHS,1
415.0,LHS,LHS,1
245.0,LHS,LHS,1
105.0,LHS,LHS,1
626.0,LHS,LHS,1
777.0,LHS,LHS,1
760.0,LHS,LHS,1
852.0,LHS,LHS,1
50719.414,LHS,LHS,1
4960.8486,LHS,LHS,1
917.39557,LHS,LHS,1
1422.9576,LHS,LHS,1
665.0,LHS,LHS,1
17092.701,LHS,LHS,1
361.0,LHS,LHS,1
733.0,LHS,LHS,1
370.0,LHS,LHS,1
473.0,LHS,LHS,1
914.0,LHS,LHS,1
800.0,LHS,LHS,1
465.0,LHS,LHS,1
1246.7535,LHS,LHS,1
1602.2449,LHS,LHS,1
645.0,LHS,LHS,1
832.0,LHS,LHS,1
3937.5723,LHS,LHS,1
339.40494,LHS,LHS,1
4310.562,LHS,LHS,1
886.0,LHS,LHS,1
505.0,LHS,LHS,1
767.89075,LHS,LHS,1
700.0,LHS,LHS,1
3736.4058,LHS,LHS,1
6870.4907,LHS,LHS,1
647.0,LHS,LHS,1
519.0,LHS,LHS,1
1441.2899,LHS,LHS,1
612.0,LHS,LHS,1
347.0,LHS,LHS,1
14429.994,LHS,LHS,1
19124.738,LHS,LHS,1
1392.5416,LHS,LHS,1
198.0,LHS,LHS,1
8777.461,LHS,LHS,1
931.0,LHS,LHS,1
486.26993,LHS,LHS,1
942.0,LHS,LHS,1
301.0,LHS,LHS,1
2484.1562,LHS,LHS,1
4169.292,LHS,LHS,1
242.0,LHS,LHS,1
22.0,LHS,LHS,1
135.0,LHS,LHS,1
568.0,LHS,LHS,1
1040.39,LHS,LHS,1
62.0,LHS,LHS,1
919.0,LHS,LHS,1
1897.3826,LHS,LHS,1
1041.812,LHS,LHS,1
4839.9805,LHS,LHS,1
318.0,LHS,LHS,1
4838.8574,LHS,LHS,1
4305.6387,LHS,LHS,1
6214.1875,LHS,LHS,1
298.0,LHS,LHS,1
691.0,LHS,LHS,1
835.0,LHS,LHS,1
1217.828,LHS,LHS,1
109.0,LHS,LHS,1
15772.793,LHS,LHS,1
18229.455,LHS,LHS,1
462.0,LHS,LHS,1
497.0,LHS,LHS,1
238.0,LHS,LHS,1
9149.586,LHS,LHS,1
448.0,LHS,LHS,1
427.0,LHS,LHS,1
572.0,LHS,LHS,1
17194.953,LHS,LHS,1
13361.677,LHS,LHS,1
415.0,LHS,LHS,1
151.0,LHS,LHS,1
1885.5867,LHS,LHS,1
381.0,LHS,LHS,1
19125.14,LHS,LHS,1
622.0,LHS,LHS,1
5579.0376,LHS,LHS,1
927.0,LHS,LHS,1
332.12372,LHS,LHS,1
43.0,LHS,LHS,1
798.0,LHS,LHS,1
19704.232,LHS,LHS,1
2135.9607,LHS,LHS,1
846.0,LHS,LHS,1
501.59244,LHS,LHS,1
850.0,LHS,LHS,1
91.0,LHS,LHS,1
166.42644,LHS,LHS,1
556.0,LHS,LHS,1
35923.586,LHS,LHS,1
2466.5747,LHS,LHS,1
33562.902,LHS,LHS,1
909.0,LHS,LHS,1
320.0,LHS,LHS,1
19.0,LHS,LHS,1
7106.5654,LHS,LHS,1
11987.406,LHS,LHS,1
541.0,LHS,LHS,1
19245.23,LHS,LHS,1
617.0,LHS,LHS,1
4855.3965,LHS,LHS,1
847.0,LHS,LHS,1
155.0,LHS,LHS,1
2079.5144,LHS,LHS,1
593.0,LHS,LHS,1
361.0,LHS,LHS,1
167.04558,LHS,LHS,1
685.69415,LHS,LHS,1
408.0,LHS,LHS,1
40723.434,LHS,LHS,1
3205.2466,LHS,LHS,1
62.0,LHS,LHS,1
63.0,LHS,LHS,1
723.0,LHS,LHS,1
889.2799,LHS,LHS,1
580.67456,LHS,LHS,1
13269.335,LHS,LHS,1
341.0,LHS,LHS,1
90.64192,LHS,LHS,1
827.94415,LHS,LHS,1
3136.3215,LHS,LHS,1
409.0,LHS,LHS,1
77.0,LHS,LHS,1
31435.861,LHS,LHS,1
643.0,LHS,LHS,1
1729.0594,LHS,LHS,1
867.0,LHS,LHS,1
834.0,LHS,LHS,1
712.0,LHS,LHS,1
837.0,LHS,LHS,1
261.0,LHS,LHS,1
157.0,LHS,LHS,1
9644.4375,LHS,LHS,1
2482.3367,LHS,LHS,1
626.0,LHS,LHS,1
608.0,LHS,LHS,1
443.0,LHS,LHS,1
912.0,LHS,LHS,1
512.0,LHS,LHS,1
28552.746,LHS,LHS,1
626.0,LHS,LHS,1
2829.0918,LHS,LHS,1
517.0,LHS,LHS,1
811.0,LHS,LHS,1
885.0,LHS,LHS,1
1368.7538,LHS,LHS,1
583.0,LHS,LHS,1
756.0,LHS,LHS,1
11297.491,LHS,LHS,1
112.0,LHS,LHS,1
17272.021,LHS,LHS,1
769.0,LHS,LHS,1
521.7989,LHS,LHS,1
626.0,LHS,LHS,1
66324.44,LHS,LHS,1
1118.5272,LHS,LHS,1
449.0,LHS,LHS,1
814.0,LHS,LHS,1
447.0,LHS,LHS,1
961.0,LHS,LHS,1
773.4569,LHS,LHS,1
978.3525,LHS,LHS,1
599.0,LHS,LHS,1
817.1208,LHS,LHS,1
295.54663,LHS,LHS,1
991.6276,LHS,LHS,1
1203.5985,LHS,LHS,1
319.0,LHS,LHS,1
451.0,LHS,LHS,1
1211.0983,LHS,LHS,1
476.0,LHS,LHS,1
433.0,LHS,LHS,1
524.0,LHS,LHS,1
607.0,LHS,LHS,1
15930.181,LHS,LHS,1
56263.12,LHS,LHS,1
7369.126,LHS,LHS,1
822.0,LHS,LHS,1
1304.5571,LHS,LHS,1
113.0,LHS,LHS,1
379.0,LHS,LHS,1
148.0,LHS,LHS,1
116.72259,LHS,LHS,1
913.0,LHS,LHS,1
870.0,LHS,LHS,1
497.0,LHS,LHS,1
7575.7725,LHS,LHS,1
590.0,LHS,LHS,1
1257.5249,LHS,LHS,1
623.1334,LHS,LHS,1
295.8861,LHS,LHS,1
902.0,LHS,LHS,1
1415.0756,LHS,LHS,1
28.0,LHS,LHS,1
10130.377,LHS,LHS,1
889.0,LHS,LHS,1
630.0,LHS,LHS,1
228.0,LHS,LHS,1
558.0,LHS,LHS,1
54.35352,LHS,LHS,1
813.0,LHS,LHS,1
796.0,LHS,LHS,1
950.0,LHS,LHS,1
968.2077,LHS,LHS,1
4300.012,LHS,LHS,1
265.0,LHS,LHS,1
715.0,LHS,LHS,1
376.0,LHS,LHS,1
156.0,LHS,LHS,1
37530.68,LHS,LHS,1
88.0,LHS,LHS,1
99.0,LHS,LHS,1
35376.36,LHS,LHS,1
516.0,LHS,LHS,1
24291.393,LHS,LHS,1
623.0,LHS,LHS,1
938.0,LHS,LHS,1
182.0,LHS,LHS,1
642.0,LHS,LHS,1
514.0,LHS,LHS,1
1519.7498,LHS,LHS,1
694.80505,LHS,LHS,1
218.13425,LHS,LHS,1
3238.2822,LHS,LHS,1
48983.637,LHS,LHS,1
973.0,LHS,LHS,1
868.0,LHS,LHS,1
6220.3374,LHS,LHS,1
710.0,LHS,LHS,1
655.0,LHS,LHS,1
805.0,LHS,LHS,1
42.0,LHS,LHS,1
306.0,LHS,LHS,1
741.0,LHS,LHS,1
766.0,LHS,LHS,1
1211.4519,LHS,LHS,1
661.0,LHS,LHS,1
801.0,LHS,LHS,1
9105.16,LHS,LHS,1
36807.004,LHS,LHS,1
5420.365,LHS,LHS,1
33.0,LHS,LHS,1
3177.612,LHS,LHS,1
285.0,LHS,LHS,1
585.0,LHS,LHS,1
4587.4355,LHS,LHS,1
650.0,LHS,LHS,1
7150.495,LHS,LHS,1
2677.1309,LHS,LHS,1
935.0,LHS,LHS,1
344.0,LHS,LHS,1
285.0,LHS,LHS,1
15112.505,LHS,LHS,1
1553.6498,LHS,LHS,1
750.0,LHS,LHS,1
77.0,LHS,LHS,1
515.0,LHS,LHS,1
362.0,LHS,LHS,1
678.0,LHS,LHS,1
896.0,LHS,LHS,1
1403.3251,LHS,LHS,1
461.0,LHS,LHS,1
10146.48,LHS,LHS,1
11447.365,LHS,LHS,1
751.0,LHS,LHS,1
2597.1023,LHS,LHS,1
8458.23,LHS,LHS,1
999.0,LHS,LHS,1
1225.5153,LHS,LHS,1
216.0,LHS,LHS,1
279.0,LHS,LHS,1
1301.7334,LHS,LHS,1
300.0,LHS,LHS,1
3615.8096,LHS,LHS,1
228.0,LHS,LHS,1
3936.3909,LHS,LHS,1
3224.364,LHS,LHS,1
2823.9907,LHS,LHS,1
351.0,LHS,LHS,1
510.0,LHS,LHS,1
795.0,LHS,LHS,1
883.0553,LHS,LHS,1
15058.382,LHS,LHS,1
58235.734,LHS,LHS,1
13665.247,LHS,LHS,1
307.0,LHS,LHS,1
392.0,LHS,LHS,1
2147.9294,LHS,LHS,1
325.0,LHS,LHS,1
2829.2983,LHS,LHS,1
403.0,LHS,LHS,1
51.222786,LHS,LHS,1
3366.7524,LHS,LHS,1
95.0,LHS,LHS,1
1728.2897,LHS,LHS,1
8708.657,LHS,LHS,1
198.0,LHS,LHS,1
29371.695,LHS,LHS,1
789.0,LHS,LHS,1
1574.9573,LHS,LHS,1
426.0,LHS,LHS,1
4364.534,LHS,LHS,1
877.11816,LHS,LHS,1
298.0,LHS,LHS,1
403.0,LHS,LHS,1
719.0,LHS,LHS,1
872.83093,LHS,LHS,1
226.0,LHS,LHS,1
704.0,LHS,LHS,1
148.0,LHS,LHS,1
401.0,LHS,LHS,1
752.0,LHS,LHS,1
148.0,LHS,LHS,1
429.0,LHS,LHS,1
840.0,LHS,LHS,1
6107.919,LHS,LHS,1
13541.034,LHS,LHS,1
707.0,LHS,LHS,1
458.0,LHS,LHS,1
6289.935,LHS,LHS,1
580.0,LHS,LHS,1
31522.457,LHS,LHS,1
3821.712,LHS,LHS,1
4598.974,LHS,LHS,1
895.0,LHS,LHS,1
158.0,LHS,LHS,1
991.0,LHS,LHS,1
